frame, x, y, z
3,210.489,234.297,1243
3,244.635,235.667,1221
3,278.966,237.07,1229
3,313.769,238.279,1234
3,349.179,239.191,1238
3,385.096,239.884,1238
3,421.417,240.469,1234
3,458.255,241.003,1243
3,176.116,257.721,1229
3,210.186,258.434,1243
3,243.947,259.452,1221
3,277.819,260.636,1216
3,312.395,261.664,1229
3,348.445,262.217,1234
3,385.318,262.503,1234
3,422.671,262.691,1229
3,460.232,262.938,1238
3,176,282,1225
3,209.869,282.502,1247
3,243.414,283.232,1234
3,277.06,284.172,1221
3,311.492,285.007,1216
3,348.144,285.21,1225
3,385.737,285.162,1221
3,423.836,285.038,1225
3,462,285.019,1229
4,175.002,102.002,1252
4,210.285,102.235,1252
4,245.585,102.612,1261
4,280.908,103.229,1261
4,316.5,104.012,1261
4,353.174,104.865,1265
4,390.353,105.704,1265
4,428.039,106.422,1270
4,465.993,106.993,1275
4,175.185,123.016,1265
4,210.389,123.503,1247
4,245.632,124.194,1252
4,280.919,125.079,1261
4,316.385,126.084,1261
4,352.388,127.151,1256
4,388.748,128.193,1256
4,425.596,129.098,1261
4,462.937,129.795,1275
4,175.461,143.948,1256
4,210.584,144.74,1252
4,245.787,145.848,1247
4,281.136,147.025,1252
4,316.528,148.233,1256
4,351.812,149.495,1256
4,387.191,150.734,1256
4,422.97,151.842,1256
4,459.601,152.665,1275
4,175.756,165.139,1256
4,210.765,166.267,1252
4,245.884,167.77,1243
4,281.287,169.183,1243
4,316.678,170.517,1247
4,351.32,171.915,1252
4,385.886,173.275,1243
4,420.746,174.529,1256
4,456.671,175.465,1261
4,176.003,187,1247
4,210.834,188.427,1243
4,245.755,190.139,1247
4,281.046,191.668,1243
4,316.482,193.019,1238
4,350.728,194.437,1247
4,385.017,195.768,1247
4,419.562,197.009,1252
4,455.002,197.999,1252
4,176.12,210.172,1243
4,210.736,211.4,1243
4,245.323,213.02,1243
4,280.216,214.524,1238
4,315.291,215.845,1243
4,349.918,217.079,1238
4,384.672,218.188,1243
4,419.782,219.187,1238
4,455.921,219.936,1252
4,176.145,233.995,1234
4,210.497,234.979,1243
4,244.662,236.314,1221
4,279.012,237.671,1229
4,313.785,238.862,1234
4,349.063,239.805,1243
4,384.814,240.551,1238
4,421.061,241.158,1234
4,458.081,241.612,1243
4,176.113,258.046,1229
4,210.193,258.803,1243
4,243.963,259.811,1221
4,277.828,260.954,1221
4,312.381,261.96,1229
4,348.427,262.555,1234
4,385.315,262.896,1234
4,422.796,263.086,1234
4,460.671,263.242,1238
4,176,282,1221
4,209.881,282.554,1247
4,243.431,283.291,1229
4,277.065,284.2,1221
4,311.493,285.007,1216
4,348.261,285.263,1225
4,386.03,285.266,1221
4,424.425,285.129,1225
4,463.009,285.017,1234
5,175.002,101.002,1247
5,210.245,101.491,1256
5,245.547,102.135,1261
5,280.898,103,1261
5,316.499,104.015,1261
5,353.046,105.092,1265
5,390.026,106.167,1265
5,427.421,107.151,1270
5,464.993,107.99,1275
5,175.155,122.258,1265
5,210.327,122.952,1247
5,245.581,123.848,1252
5,280.897,124.918,1261
5,316.376,126.091,1261
5,352.322,127.317,1256
5,388.572,128.527,1256
5,425.221,129.628,1261
5,462.236,130.544,1275
5,175.404,143.466,1256
5,210.505,144.41,1252
5,245.728,145.644,1247
5,281.092,146.932,1252
5,316.489,148.24,1256
5,351.784,149.595,1256
5,387.15,150.928,1256
5,422.838,152.148,1256
5,459.214,153.129,1275
5,175.698,164.93,1256
5,210.705,166.149,1252
5,245.853,167.699,1243
5,281.251,169.152,1243
5,316.625,170.522,1252
5,351.332,171.951,1252
5,385.955,173.341,1247
5,420.804,174.631,1256
5,456.549,175.66,1261
5,176.008,187.007,1243
5,210.861,188.469,1243
5,245.821,190.17,1252
5,281.095,191.683,1243
5,316.482,193.019,1238
5,350.816,194.422,1247
5,385.166,195.736,1247
5,419.705,196.963,1252
5,455,197.993,1252
5,176.314,210.259,1243
5,210.942,211.523,1243
5,245.571,213.112,1247
5,280.46,214.57,1238
5,315.498,215.844,1243
5,350.137,217.032,1238
5,384.869,218.097,1243
5,419.88,219.068,1238
5,455.765,219.866,1252
5,176.596,234.085,1234
5,210.955,235.112,1243
5,245.16,236.424,1221
5,279.529,237.731,1234
5,314.267,238.862,1238
5,349.446,239.743,1243
5,385.028,240.436,1234
5,421.016,241.022,1234
5,457.651,241.542,1243
5,176.845,258.098,1229
5,210.93,258.908,1243
5,244.737,259.91,1221
5,278.637,261.013,1221
5,313.148,261.961,1234
5,348.97,262.492,1234
5,385.519,262.783,1234
5,422.566,262.967,1229
5,459.934,263.202,1238
5,176.999,282.002,1225
5,210.88,282.616,1247
5,244.455,283.364,1229
5,278.117,284.246,1221
5,312.49,285.007,1221
5,348.915,285.206,1229
5,386.206,285.169,1221
5,424.029,285.042,1225
5,462.009,285.017,1234
6,175.002,102.002,1247
6,210.189,102.179,1256
6,245.452,102.526,1261
6,280.813,103.159,1261
6,316.501,104.014,1261
6,353.169,105.081,1265
6,390.379,106.173,1265
6,428.09,107.161,1270
6,465.99,107.988,1275
6,175.121,122.726,1265
6,210.186,123.21,1247
6,245.328,123.942,1256
6,280.573,124.909,1261
6,316.07,126.029,1261
6,352.139,127.274,1256
6,388.634,128.51,1256
6,425.605,129.619,1261
6,462.951,130.524,1275
6,175.367,143.355,1261
6,210.31,144.212,1247
6,245.34,145.462,1247
6,280.535,146.806,1256
6,315.876,148.174,1256
6,351.303,149.57,1256
6,386.936,150.92,1256
6,422.94,152.142,1256
6,459.641,153.108,1275
6,175.678,164.288,1256
6,210.481,165.557,1252
6,245.371,167.301,1243
6,280.513,168.957,1243
6,315.755,170.486,1247
6,350.617,171.966,1247
6,385.523,173.36,1247
6,420.674,174.641,1256
6,456.723,175.648,1261
6,176.008,186.006,1247
6,210.632,187.65,1243
6,245.308,189.655,1247
6,280.288,191.459,1243
6,315.482,193.021,1238
6,349.994,194.471,1252
6,384.616,195.78,1243
6,419.429,196.99,1247
6,454.995,197.994,1252
6,176.299,209.304,1243
6,210.727,210.713,1243
6,245.105,212.594,1247
6,279.742,214.341,1238
6,314.632,215.829,1243
6,349.376,217.088,1243
6,384.319,218.155,1243
6,419.556,219.107,1238
6,455.688,219.872,1252
6,176.566,233.395,1234
6,210.779,234.497,1243
6,244.81,236.006,1225
6,279.021,237.53,1234
6,313.669,238.83,1234
6,348.874,239.791,1238
6,384.571,240.497,1238
6,420.724,241.066,1234
6,457.566,241.548,1243
6,176.819,257.762,1229
6,210.819,258.57,1243
6,244.54,259.652,1221
6,278.381,260.876,1221
6,312.864,261.933,1229
6,348.642,262.535,1234
6,385.21,262.844,1234
6,422.352,263.012,1234
6,459.88,263.206,1238
6,176.998,282.001,1225
6,210.85,282.544,1247
6,244.412,283.279,1229
6,278.09,284.198,1221
6,312.49,285.007,1216
6,348.818,285.255,1229
6,386.057,285.233,1221
6,423.915,285.086,1225
6,462.009,285.017,1234
7,175.002,102.002,1247
7,210.204,102.194,1256
7,245.495,102.56,1261
7,280.863,103.2,1261
